awardYear,category,categoryFullName,sortOrder,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
2014,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,"$8,000,000","$8,379,888",,received,for their discoveries of cells that constitute a positioning system in the brain,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2014,904,May-Britt Moser,May-Britt Moser,May-Britt,Moser,May-Britt Moser,,female,http://masterdataapi.nobelprize.org/2/laureate/904,"January 4, 1963",Fosnavåg,Fosnavåg,Europe,Norway,Norway,"Fosnavåg, Norway",,,,,,,,,,,,,,,,,,Individual,,,"Norwegian University of Science and Technology (NTNU), Trondheim, Norway",,,
2014,Chemistry,The Nobel Prize in Chemistry,2,"$8,000,000","$8,379,888","October 8, 2014",received,for the development of super-resolved fluorescence microscopy,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2014,910,Stefan W. Hell,Stefan W. Hell,Stefan W.,Hell,Stefan W. Hell,,male,http://masterdataapi.nobelprize.org/2/laureate/910,"December 23, 1962",Arad,Arad,Europe,Romania,Romania,"Arad, Romania",,,,,,,,,,,,,,,,,,Individual,,,"Max Planck Institute for Biophysical Chemistry, Göttingen, Germany","German Cancer Research Center, Heidelberg, Germany",,
2012,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,"$8,000,000","$8,361,204",,received,for the discovery that mature cells can be reprogrammed to become pluripotent,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2012,875,Shinya Yamanaka,Shinya Yamanaka,Shinya,Yamanaka,Shinya Yamanaka,,male,http://masterdataapi.nobelprize.org/2/laureate/875,"September 4, 1962",Osaka,Osaka,Asia,Japan,Japan,"Osaka, Japan",,,,,,,,,,,,,,,,,,Individual,,,"Kyoto University, Kyoto, Japan","Gladstone Institutes, San Francisco, CA, USA",,
2014,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,3,"$8,000,000","$8,379,888",,received,for their discoveries of cells that constitute a positioning system in the brain,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2014,905,Edvard I. Moser,Edvard I. Moser,Edvard I.,Moser,Edvard I. Moser,,male,http://masterdataapi.nobelprize.org/2/laureate/905,"April 27, 1962",Ålesund,Ålesund,Europe,Norway,Norway,"Ålesund, Norway",,,,,,,,,,,,,,,,,,Individual,,,"Norwegian University of Science and Technology (NTNU), Trondheim, Norway",,,
2018,Literature,The Nobel Prize in Literature,1,"$9,000,000","$9,000,000","October 10, 2019",received,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2018,979,Olga Tokarczuk,Olga Tokarczuk,Olga,Tokarczuk,Olga Tokarczuk,,female,http://masterdataapi.nobelprize.org/2/laureate/979,"January 29, 1962",Sulechów,Sulechów,Europe,Poland,Poland,"Sulechów, Poland",,,,,,,,,,,,,,,,,,Individual,"Wroclaw, Poland",,,,,
2001,Physics,The Nobel Prize in Physics,1,"$10,000,000","$12,295,082","October 9, 2001",received,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2001,738,Eric Cornell,Eric Cornell,Eric,Cornell,Eric A. Cornell,,male,http://masterdataapi.nobelprize.org/2/laureate/738,"December 19, 1961","Palo Alto, CA","Palo Alto, CA",North America,USA,USA,"Palo Alto, CA, USA",,,,,,,,,,,,,,,,,,Individual,,,"University of Colorado, JILA, Boulder, CO, USA",,,
2009,Peace,The Nobel Peace Prize,1,"$10,000,000","$10,958,504","October 9, 2009",received,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2009,845,Barack H. Obama,Barack H. Obama,Barack,Obama,Barack Hussein Obama,,male,http://masterdataapi.nobelprize.org/2/laureate/845,"August 4, 1961","Honolulu, HI","Honolulu, HI",North America,USA,USA,"Honolulu, HI, USA",,,,,,,,,,,,,,,,,,Individual,USA,,,,,
2009,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,"$10,000,000","$10,958,504",,received,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2009,836,Carol W. Greider,Carol W. Greider,Carol W.,Greider,Carol W. Greider,,female,http://masterdataapi.nobelprize.org/2/laureate/836,"April 15, 1961","San Diego, CA","San Diego, CA",North America,USA,USA,"San Diego, CA, USA",,,,,,,,,,,,,,,,,,Individual,,,"Johns Hopkins University School of Medicine, Baltimore, MD, USA",,,
2019,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,"$9,000,000","$9,000,000","October 14, 2019",received,for their experimental approach to alleviating global poverty,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2019,982,Abhijit Banerjee,Abhijit Banerjee,Abhijit,Banerjee,Abhijit Banerjee,,male,http://masterdataapi.nobelprize.org/2/laureate/982,"February 21, 1961",Mumbai,Mumbai,Asia,India,India,"Mumbai, India",,,,,,,,,,,,,,,,,,Individual,,,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA",,,
2006,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,"$10,000,000","$11,552,680","October 2, 2006",received,for their discovery of RNA interference - gene silencing by double-stranded RNA,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2006,803,Craig C. Mello,Craig C. Mello,Craig C.,Mello,Craig C. Mello,,male,http://masterdataapi.nobelprize.org/2/laureate/803,"October 19, 1960","New Haven, CT","New Haven, CT",North America,USA,USA,"New Haven, CT, USA",,,,,,,,,,,,,,,,,,Individual,,,"University of Massachusetts Medical School, Worcester, MA, USA",,,
2014,Physics,The Nobel Prize in Physics,2,"$8,000,000","$8,379,888","October 7, 2014",received,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2014,907,Hiroshi Amano,Hiroshi Amano,Hiroshi,Amano,Hiroshi Amano,,male,http://masterdataapi.nobelprize.org/2/laureate/907,"September 11, 1960",Hamamatsu,Hamamatsu,Asia,Japan,Japan,"Hamamatsu, Japan",,,,,,,,,,,,,,,,,,Individual,,,"Nagoya University, Nagoya, Japan",,,
2014,Chemistry,The Nobel Prize in Chemistry,1,"$8,000,000","$8,379,888","October 8, 2014",received,for the development of super-resolved fluorescence microscopy,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2014,909,Eric Betzig,Eric Betzig,Eric,Betzig,Eric Betzig,,male,http://masterdataapi.nobelprize.org/2/laureate/909,"January 13, 1960","Ann Arbor, MI","Ann Arbor, MI",North America,USA,USA,"Ann Arbor, MI, USA",,,,,,,,,,,,,,,,,,Individual,,,"Janelia Research Campus, Howard Hughes Medical Institute, Ashburn, VA, USA",,,
2002,Chemistry,The Nobel Prize in Chemistry,2,"$10,000,000","$12,034,660","October 9, 2002",received,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,for the development of methods for identification and structure analyses of biological macromolecules,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2002,757,Koichi Tanaka,Koichi Tanaka,Koichi,Tanaka,Koichi Tanaka,,male,http://masterdataapi.nobelprize.org/2/laureate/757,"August 3, 1959",Toyama City,Toyama City,Asia,Japan,Japan,"Toyama City, Japan",,,,,,,,,,,,,,,,,,Individual,,,"Shimadzu Corp., Kyoto, Japan",,,
2018,Physics,The Nobel Prize in Physics,3,"$9,000,000","$9,000,000","October 2, 2018",received,"for their method of generating high-intensity, ultra-short optical pulses",for groundbreaking inventions in the field of laser physics,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2018,962,Donna Strickland,Donna Strickland,Donna,Strickland,Donna Strickland,,female,http://masterdataapi.nobelprize.org/2/laureate/962,"May 27, 1959",Guelph,Guelph,North America,Canada,Canada,"Guelph, Canada",,,,,,,,,,,,,,,,,,Individual,,,"University of Waterloo, Waterloo, Canada",,,
2006,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,"$10,000,000","$11,552,680","October 2, 2006",received,for their discovery of RNA interference - gene silencing by double-stranded RNA,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2006,802,Andrew Z. Fire,Andrew Z. Fire,Andrew Z.,Fire,Andrew Z. Fire,,male,http://masterdataapi.nobelprize.org/2/laureate/802,"April 27, 1959","Stanford, CA","Stanford, CA",North America,USA,USA,"Stanford, CA, USA",,,,,,,,,,,,,,,,,,Individual,,,"Stanford University School of Medicine, Stanford, CA, USA",,,
2015,Physics,The Nobel Prize in Physics,1,"$8,000,000","$8,384,572","October 6, 2015",received,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2015,919,Takaaki Kajita,Takaaki Kajita,Takaaki,Kajita,Takaaki Kajita,,male,http://masterdataapi.nobelprize.org/2/laureate/919,"March 9, 1959",Higashimatsuyama,Higashimatsuyama,Asia,Japan,Japan,"Higashimatsuyama, Japan",,,,,,,,,,,,,,,,,,Individual,,,"University of Tokyo, Kashiwa, Japan",,,
1992,Peace,The Nobel Peace Prize,1,"$6,500,000","$9,184,250","October 16, 1992",received,for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1992,554,Rigoberta Menchú Tum,Rigoberta Menchú Tum,Rigoberta,Menchú Tum,Rigoberta Menchú Tum,,female,http://masterdataapi.nobelprize.org/2/laureate/554,"January 9, 1959",Aldea Chimel,Aldea Chimel,North America,Guatemala,Guatemala,"Aldea Chimel, Guatemala",,,,,,,,,,,,,,,,,,Individual,Guatemala,,,,,
2010,Physics,The Nobel Prize in Physics,1,"$10,000,000","$10,819,388","October 5, 2010",received,for groundbreaking experiments regarding the two-dimensional material graphene,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2010,849,Andre Geim,Andre Geim,Andre,Geim,Andre Geim,,male,http://masterdataapi.nobelprize.org/2/laureate/849,"October 21, 1958",Sochi,Sochi,Europe,Russia,Russia,"Sochi, Russia",,,,,,,,,,,,,,,,,,Individual,,,"University of Manchester, Manchester, United Kingdom",,,
2011,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,"$10,000,000","$10,545,557",,received,for their discoveries concerning the activation of innate immunity,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2011,861,Bruce A. Beutler,Bruce A. Beutler,Bruce A.,Beutler,Bruce A. Beutler,,male,http://masterdataapi.nobelprize.org/2/laureate/861,"December 29, 1957","Chicago, IL","Chicago, IL",North America,USA,USA,"Chicago, IL, USA",,,,,,,,,,,,,,,,,,Individual,,,"University of Texas Southwestern Medical Center at Dallas, Dallas, TX, USA","The Scripps Research Institute, La Jolla, CA, USA",,
2019,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,"$9,000,000","$9,000,000","October 7, 2019",received,for their discoveries of how cells sense and adapt to oxygen availability,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2019,970,William G. Kaelin Jr,William G. Kaelin Jr,William,Kaelin,William G. Kaelin Jr,,male,http://masterdataapi.nobelprize.org/2/laureate/970,"November 23, 1957","New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,,,,,,,,Individual,,,"Harvard Medical School, Boston, MA, USA","Howard Hughes Medical Institute, Chevy Chase, MD, USA","Dana-Farber Cancer Institute, Boston, MA, USA","Brigham and Women's Hospital, Boston, MA, USA"
2001,Physics,The Nobel Prize in Physics,2,"$10,000,000","$12,295,082","October 9, 2001",received,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2001,739,Wolfgang Ketterle,Wolfgang Ketterle,Wolfgang,Ketterle,Wolfgang Ketterle,,male,http://masterdataapi.nobelprize.org/2/laureate/739,"October 21, 1957",Heidelberg,Heidelberg,Europe,West Germany,Germany,"Heidelberg, West Germany (now Germany)",,,,,,,,,,,,,,,,,,Individual,,,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA",,,
2018,Chemistry,The Nobel Prize in Chemistry,1,"$9,000,000","$9,000,000","October 3, 2018",received,for the directed evolution of enzymes,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2018,963,Frances H. Arnold,Frances H. Arnold,Frances H.,Arnold,Frances H. Arnold,,female,http://masterdataapi.nobelprize.org/2/laureate/963,"July 25, 1956","Pittsburgh, PA","Pittsburgh, PA",North America,USA,USA,"Pittsburgh, PA, USA",,,,,,,,,,,,,,,,,,Individual,,,"California Institute of Technology (Caltech), Pasadena, CA, USA",,,
2019,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,3,"$9,000,000","$9,000,000","October 7, 2019",received,for their discoveries of how cells sense and adapt to oxygen availability,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2019,972,Gregg L. Semenza,Gregg L. Semenza,Gregg,Semenza,Gregg L. Semenza,,male,http://masterdataapi.nobelprize.org/2/laureate/972,"July 12, 1956","New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,,,,,,,,Individual,,,"Johns Hopkins University, Baltimore, MD, USA",,,
2003,Chemistry,The Nobel Prize in Chemistry,2,"$10,000,000","$11,807,305","October 8, 2003",received,for structural and mechanistic studies of ion channels,for discoveries concerning channels in cell membranes,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2003,770,Roderick MacKinnon,Roderick MacKinnon,Roderick,MacKinnon,Roderick MacKinnon,,male,http://masterdataapi.nobelprize.org/2/laureate/770,"February 19, 1956","Burlington, MA","Burlington, MA",North America,USA,USA,"Burlington, MA, USA",,,,,,,,,,,,,,,,,,Individual,,,"Rockefeller University, New York, NY, USA","Howard Hughes Medical Institute, N/A",,
2010,Peace,The Nobel Peace Prize,1,"$10,000,000","$10,819,388","October 8, 2010",received,for his long and non-violent struggle for fundamental human rights in China,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2010,855,Liu Xiaobo,Liu Xiaobo,Xiaobo,Liu,Liu Xiaobo,,male,http://masterdataapi.nobelprize.org/2/laureate/855,"December 28, 1955",Changchun,Changchun,Asia,China,China,"Changchun, China","July 13, 2017",Shenyang,Shenyang,Asia,China,China,"Shenyang, China",,,,,,,,,,,Individual,China,,,,,
2013,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,3,"$8,000,000","$8,365,867",,received,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2013,886,Thomas C. Südhof,Thomas C. Südhof,Thomas C.,Südhof,Thomas C. Südhof,,male,http://masterdataapi.nobelprize.org/2/laureate/886,"December 22, 1955",Göttingen,Göttingen,Europe,Germany,Germany,"Göttingen, Germany",,,,,,,,,,,,,,,,,,Individual,,,"Stanford University, Stanford, CA, USA","Howard Hughes Medical Institute, N/A",,
2012,Chemistry,The Nobel Prize in Chemistry,2,"$8,000,000","$8,361,204","October 10, 2012",received,for studies of G-protein-coupled receptors,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2012,879,Brian Kobilka,Brian Kobilka,Brian,Kobilka,Brian K. Kobilka,,male,http://masterdataapi.nobelprize.org/2/laureate/879,"May 30, 1955","Little Falls, MN","Little Falls, MN",North America,USA,USA,"Little Falls, MN, USA",,,,,,,,,,,,,,,,,,Individual,,,"Stanford University School of Medicine, Stanford, CA, USA",,,
2018,Peace,The Nobel Peace Prize,1,"$9,000,000","$9,000,000","October 5, 2018",received,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2018,966,Denis Mukwege,Denis Mukwege,Denis,Mukwege,Denis Mukwege,,male,http://masterdataapi.nobelprize.org/2/laureate/966,"March 1, 1955",Bukavu,Bukavu,Africa,Belgian Congo,Democratic Republic of the Congo,"Bukavu, Belgian Congo (now Democratic Republic of the Congo)",,,,,,,,,,,,,,,,,,Individual,,,,,,
2012,Literature,The Nobel Prize in Literature,1,"$8,000,000","$8,361,204","October 11, 2012",received,"who with hallucinatory realism merges folk tales, history and the contemporary",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2012,880,Mo Yan,Mo Yan,Mo,Yan,Mo Yan,(pen-name of Guan Moye),male,http://masterdataapi.nobelprize.org/2/laureate/880,"February 2, 1955",Gaomi,Gaomi,Asia,China,China,"Gaomi, China",,,,,,,,,,,,,,,,,,Individual,China,,,,,
2017,Literature,The Nobel Prize in Literature,1,"$9,000,000","$9,176,183","October 5, 2017",received,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2017,947,Kazuo Ishiguro,Kazuo Ishiguro,Kazuo,Ishiguro,Kazuo Ishiguro,,male,http://masterdataapi.nobelprize.org/2/laureate/947,"November 8, 1954",Nagasaki,Nagasaki,Asia,Japan,Japan,"Nagasaki, Japan",,,,,,,,,,,,,,,,,,Individual,,,,,,
2014,Physics,The Nobel Prize in Physics,3,"$8,000,000","$8,379,888","October 7, 2014",received,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2014,908,Shuji Nakamura,Shuji Nakamura,Shuji,Nakamura,Shuji Nakamura,,male,http://masterdataapi.nobelprize.org/2/laureate/908,"May 22, 1954",Ikata,Ikata,Asia,Japan,Japan,"Ikata, Japan",,,,,,,,,,,,,,,,,,Individual,,,"University of California, Santa Barbara, CA, USA",,,
2019,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,"$9,000,000","$9,000,000","October 7, 2019",received,for their discoveries of how cells sense and adapt to oxygen availability,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2019,971,Sir Peter J. Ratcliffe,Sir Peter J. Ratcliffe,Peter,Ratcliffe,Sir Peter J. Ratcliffe,,male,http://masterdataapi.nobelprize.org/2/laureate/971,"May 14, 1954",Lancashire,Lancashire,Europe,United Kingdom,United Kingdom,"Lancashire, United Kingdom",,,,,,,,,,,,,,,,,,Individual,,,"University of Oxford, Oxford, United Kingdom","Francis Crick Institute, London, United Kingdom",,
2014,Peace,The Nobel Peace Prize,1,"$8,000,000","$8,379,888","October 10, 2014",received,for their struggle against the suppression of children and young people and for the right of all children to education,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2014,913,Kailash Satyarthi,Kailash Satyarthi,Kailash,Satyarthi,Kailash Satyarthi,,male,http://masterdataapi.nobelprize.org/2/laureate/913,"January 11, 1954",Vidisha,Vidisha,Asia,India,India,"Vidisha, India",,,,,,,,,,,,,,,,,,Individual,India,,,,,
2009,Literature,The Nobel Prize in Literature,1,"$10,000,000","$10,958,504","October 8, 2009",received,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2009,844,Herta Müller,Herta Müller,Herta,Müller,Herta Müller,,female,http://masterdataapi.nobelprize.org/2/laureate/844,"August 17, 1953","Nitzkydorf, Banat","Nitzkydorf, Banat",Europe,Romania,Romania,"Nitzkydorf, Banat, Romania",,,,,,,,,,,,,,,,,,Individual,Germany,,,,,
2014,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,"$8,000,000","$8,379,888","October 13, 2014",received,for his analysis of market power and regulation,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2014,915,Jean Tirole,Jean Tirole,Jean,Tirole,Jean Tirole,,male,http://masterdataapi.nobelprize.org/2/laureate/915,"August 9, 1953",Troyes,Troyes,Europe,France,France,"Troyes, France",,,,,,,,,,,,,,,,,,Individual,,,"Toulouse School of Economics (TSE), Toulouse, France",,,
2014,Chemistry,The Nobel Prize in Chemistry,3,"$8,000,000","$8,379,888","October 8, 2014",received,for the development of super-resolved fluorescence microscopy,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2014,911,William E. Moerner,William E. Moerner,William E.,Moerner,William E. Moerner,,male,http://masterdataapi.nobelprize.org/2/laureate/911,"June 24, 1953","Pleasanton, CA","Pleasanton, CA",North America,USA,USA,"Pleasanton, CA, USA",,,,,,,,,,,,,,,,,,Individual,,,"Stanford University, Stanford, CA, USA",,,
2008,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,"$10,000,000","$10,926,573","October 13, 2008",received,for his analysis of trade patterns and location of economic activity,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2008,834,Paul Krugman,Paul Krugman,Paul,Krugman,Paul Krugman,,male,http://masterdataapi.nobelprize.org/2/laureate/834,"February 28, 1953","New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,,,,,,,,Individual,,,"Princeton University, Princeton, NJ, USA",,,
